# fB2 CAC AlphaBN ZnSc NaCl

0.06 -0.600 -0.530
0.08 -0.385 -0.380
0.10 -0.262 -0.295
0.12 -0.200 -0.250
0.14 ###### ######
0.16 ###### ######
0.18 ###### ######
